mean_red,std_red,mean_green,std_green,mean_blue,std_blue,frame,sample_id,sample_source
229.93518,21.37237,0.0,0.0,55.0136,17.883581,0,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
222.98929,23.58904,0.0,0.0,48.87876,15.755623,1,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
222.89641,23.548885,0.0,0.0,48.510708,15.796079,2,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
220.55121,24.215988,0.0,0.0,46.877895,15.386744,3,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
220.171,24.339693,0.0,0.0,46.680267,15.252995,4,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
220.06857,24.335419,0.0,0.0,46.52749,15.217818,5,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
218.06279,25.147202,0.0,0.0,45.14178,15.136957,6,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
218.17998,25.107155,0.0,0.0,45.24624,15.068319,7,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
217.0136,25.220396,0.0,0.0,44.131657,14.787138,8,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
215.2853,25.632174,0.0,0.0,42.832756,14.546872,9,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
215.807,25.330467,0.0,0.0,43.114006,14.437576,10,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
214.32841,25.69344,0.0,0.0,42.493343,14.35169,11,0,data/covital-data-clinical/survey-id=f8c2a9cc-fb45-4960-a1b6-36f3e3e22498/2020-04-23 06:43:00.630986.mp4
